True_Grade,Predicted_Grade
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,2
10.0,5
2.0,2
5.0,2
10.0,2
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,2
10.0,2
2.0,5
5.0,5
10.0,2
2.0,5
5.0,2
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,2
10.0,2
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,5
5.0,5
10.0,5
2.0,5
5.0,2
10.0,2
2.0,5
5.0,5
10.0,5
2.0,2
5.0,2
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,2
10.0,5
2.0,2
5.0,2
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,2
5.0,2
10.0,5
2.0,5
5.0,2
10.0,5
2.0,2
5.0,2
10.0,2
2.0,5
5.0,2
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,2
10.0,2
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,5
2.0,2
5.0,5
10.0,2
2.0,5
5.0,2
10.0,2
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
2.0,5
5.0,5
2.0,5
5.0,5
2.0,2
5.0,5
5.0,2
10.0,2
2.0,5
5.0,5
10.0,2
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,2
10.0,2
2.0,5
5.0,2
10.0,2
2.0,2
10.0,5
2.0,5
5.0,2
10.0,5
2.0,2
5.0,5
10.0,5
2.0,5
5.0,2
10.0,5
2.0,5
5.0,2
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,5
5.0,2
10.0,5
2.0,2
5.0,2
10.0,5
2.0,2
5.0,5
10.0,2
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,5
5.0,2
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,2
10.0,5
2.0,2
5.0,2
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,5
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,5
5.0,2
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,10
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,2
10.0,2
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,10
10.0,2
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,10
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,2
5.0,2
10.0,5
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,5
5.0,2
10.0,2
2.0,2
5.0,5
10.0,5
2.0,10
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,2
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,2
10.0,5
2.0,2
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,5
5.0,2
10.0,2
2.0,5
5.0,5
10.0,2
2.0,5
5.0,2
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,5
5.0,2
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,2
10.0,2
2.0,2
5.0,2
10.0,5
2.0,2
5.0,2
10.0,5
2.0,2
5.0,5
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,5
2.0,2
5.0,5
10.0,5
2.0,5
5.0,5
10.0,2
2.0,2
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,5
5.0,5
10.0,2
2.0,2
5.0,2
